Author,Filename,Date
grubeli,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,"November 16, 2021 14:04:57"
grubeli,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,"May 24, 2021 07:46:20"
grubeli,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,"May 24, 2021 07:45:07"
grubeli,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,"May 21, 2021 14:40:38"
grubeli,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,"May 08, 2021 14:18:37"
grubeli,README.md,"June 07, 2021 08:54:51"
grubeli,README.md,"June 07, 2021 08:50:08"
grubeli,README.md,"May 04, 2021 07:04:38"
grubeli,README.md,"July 27, 2020 18:50:09"
grubeli,README.md,"July 21, 2020 13:58:39"
grubeli,README.md,"February 07, 2020 14:44:11"
grubeli,README.md,"February 04, 2020 13:41:34"
grubeli,README.md,"January 31, 2020 00:54:28"
grubeli,README.md,"January 30, 2020 13:05:20"
grubeli,README.md,"January 28, 2020 13:12:19"
grubeli,README.md,"January 28, 2020 13:03:18"
grubeli,README.md,"January 28, 2020 12:51:22"
grubeli,README.md,"November 29, 2019 17:15:51"
grubeli,README.md,"June 10, 2019 10:29:09"
grubeli,README.md,"May 02, 2019 15:28:11"
grubeli,README.md,"November 04, 2018 09:36:21"
grubeli,README.md,"November 04, 2018 05:03:57"
grubeli,README.md,"June 25, 2018 08:00:15"
grubeli,README.md,"May 12, 2017 21:31:11"
grubeli,README.md,"May 11, 2017 16:41:00"
grubeli,README.md,"March 29, 2017 11:25:16"
grubeli,README.md,"March 29, 2017 11:18:37"
grubeli,README.md,"March 24, 2017 16:11:58"
grubeli,README.md,"July 01, 2016 20:21:13"
grubeli,README.md,"May 18, 2016 08:05:58"
grubeli,README.md,"March 14, 2016 21:04:13"
grubeli,README.md,"January 06, 2016 09:32:33"
grubeli,README.md,"January 06, 2016 09:29:30"
grubeli,README.md,"September 17, 2015 12:49:01"
grubeli,README.md,"September 17, 2015 12:48:32"
grubeli,README.md,"July 01, 2015 08:28:32"
grubeli,README.md,"June 30, 2015 16:35:59"
grubeli,README.md,"June 30, 2015 15:31:31"
grubeli,README.md,"June 30, 2015 15:07:09"
grubeli,README.md,"June 30, 2015 15:06:34"
grubeli,README.md,"June 30, 2015 15:04:49"
grubeli,README.md,"June 30, 2015 14:59:24"
grubeli,README.md,"June 30, 2015 14:45:12"
grubeli,README.md,"June 30, 2015 14:14:08"
grubeli,README.md,"June 29, 2015 13:06:14"
grubeli,README.md,"June 26, 2015 18:49:17"
grubeli,README.md,"June 19, 2015 09:05:57"
grubeli,README.md,"June 19, 2015 09:01:56"
grubeli,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,"May 24, 2021 07:35:11"
grubeli,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,"May 08, 2021 14:18:37"
grubeli,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,"March 14, 2019 12:24:58"
grubeli,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,"March 29, 2017 11:18:37"
grubeli,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,"June 30, 2015 14:45:20"
grubeli,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,"June 30, 2015 14:36:54"
grubeli,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,"June 30, 2015 14:14:20"
grubeli,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,"June 30, 2015 14:14:02"
grubeli,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,"June 26, 2015 15:57:05"
grubeli,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,"June 26, 2015 15:50:40"
grubeli,build.gradle,"May 22, 2021 13:42:21"
grubeli,build.gradle,"May 08, 2021 14:18:37"
grubeli,build.gradle,"February 08, 2020 21:35:00"
grubeli,build.gradle,"February 07, 2020 14:44:11"
grubeli,build.gradle,"February 04, 2020 13:41:34"
grubeli,build.gradle,"February 03, 2020 20:42:40"
grubeli,build.gradle,"January 31, 2020 00:54:28"
grubeli,build.gradle,"January 28, 2020 12:31:03"
grubeli,build.gradle,"November 16, 2019 02:34:24"
grubeli,build.gradle,"June 14, 2018 15:53:38"
grubeli,build.gradle,"June 14, 2018 14:54:13"
grubeli,build.gradle,"May 11, 2018 12:00:38"
grubeli,build.gradle,"May 11, 2018 12:00:38"
grubeli,build.gradle,"August 19, 2017 16:20:33"
grubeli,build.gradle,"May 12, 2017 21:31:11"
grubeli,build.gradle,"May 11, 2017 16:32:04"
grubeli,build.gradle,"March 24, 2017 14:49:14"
grubeli,build.gradle,"March 24, 2017 14:09:59"
grubeli,build.gradle,"March 13, 2017 22:35:27"
grubeli,build.gradle,"August 31, 2016 13:03:09"
grubeli,build.gradle,"July 07, 2016 08:48:51"
grubeli,build.gradle,"July 01, 2016 14:40:45"
grubeli,build.gradle,"May 17, 2016 15:21:28"
grubeli,build.gradle,"June 30, 2015 15:51:16"
grubeli,build.gradle,"June 19, 2015 09:05:10"
grubeli,changes.md,"May 22, 2021 13:42:21"
grubeli,changes.md,"May 08, 2021 14:18:37"
grubeli,changes.md,"May 04, 2021 06:47:42"
grubeli,changes.md,"February 07, 2020 14:44:11"
grubeli,changes.md,"February 04, 2020 11:42:07"
grubeli,changes.md,"May 12, 2017 21:31:11"
grubeli,changes.md,"May 11, 2017 16:41:00"
grubeli,changes.md,"March 29, 2017 11:25:16"
grubeli,rootbeerlib/build.gradle,"May 22, 2021 13:42:21"
grubeli,rootbeerlib/build.gradle,"March 16, 2020 11:44:07"
grubeli,rootbeerlib/build.gradle,"February 08, 2020 21:35:00"
grubeli,rootbeerlib/build.gradle,"February 07, 2020 14:44:11"
grubeli,rootbeerlib/build.gradle,"February 04, 2020 13:41:34"
grubeli,rootbeerlib/build.gradle,"February 03, 2020 20:42:40"
grubeli,rootbeerlib/build.gradle,"January 31, 2020 00:54:28"
grubeli,rootbeerlib/build.gradle,"January 28, 2020 12:31:03"
grubeli,rootbeerlib/build.gradle,"November 16, 2019 02:45:47"
grubeli,rootbeerlib/build.gradle,"November 16, 2019 02:34:24"
grubeli,rootbeerlib/build.gradle,"June 14, 2018 15:53:38"
grubeli,rootbeerlib/build.gradle,"May 11, 2018 16:03:38"
grubeli,rootbeerlib/build.gradle,"May 11, 2018 16:01:52"
grubeli,rootbeerlib/build.gradle,"May 11, 2018 13:34:50"
grubeli,rootbeerlib/build.gradle,"May 11, 2018 12:00:38"
grubeli,rootbeerlib/build.gradle,"May 11, 2018 12:00:38"
grubeli,rootbeerlib/build.gradle,"May 11, 2018 11:04:52"
grubeli,rootbeerlib/build.gradle,"October 31, 2017 18:57:32"
grubeli,rootbeerlib/build.gradle,"May 12, 2017 21:31:11"
